Article URLs,Non-Article URLs
https://edition.cnn.com/sport/paris-olympics-2024,https://edition.cnn.com/style
https://edition.cnn.com/business,https://edition.cnn.com/style/design
https://edition.cnn.com/audio/podcasts/the-assignment,
https://www.cnn.com/sport,https://edition.cnn.com/science/unearthed
https://edition.cnn.com/sports,https://instagram.com/CNN
https://edition.cnn.com/business/media,
https://edition.cnn.com/weather,https://edition.cnn.com/videos/fast/cnni-fast
https://edition.cnn.com/business/tech/innovative-cities,
https://edition.cnn.com/audio/podcasts/axe-files,
https://edition.cnn.com/world/africa,
