Article URLs,Non-Article URLs
https://vnexpress.net/redmi-note-14-smartphone-5g-re-nhat-cua-xiaomi-4878121.html,https://vnexpress.net/tai-sao-dieu-khien-dieu-hoa-mot-chieu-lai-co-che-do-lam-nong-4878668.html
https://vnexpress.net/tsmc-cong-bo-tien-trinh-san-xuat-chip-1-4-nm-4879283.html,
https://vnexpress.net/bo-gia-geoffrey-hinton-phat-trien-ai-nhu-nuoi-ho-con-4879931.html,
https://vnexpress.net/tau-than-chau-20-cho-3-phi-hanh-gia-len-tram-thien-cung-4878369.html,
https://vnexpress.net/cosplay-contest-2025-mo-cong-binh-chon-4875600.html,https://video.vnexpress.net
https://vnexpress.net/ts-viet-vao-top-10-nha-hoa-hoc-tre-cua-vien-han-lam-australia-4878160.html,
https://vnexpress.net/con-nguoi-co-the-tien-hoa-thanh-loai-moi-tren-sao-hoa-4878850.html,
https://vnexpress.net/khoi-da-ky-la-tren-sao-hoa-4877477.html,
https://vnexpress.net/microsoft-ai-cung-co-the-lam-ong-chu-nho-ai-4879197.html,
https://vnexpress.net/amazon-phong-ve-tinh-internet-canh-tranh-spacex-4879889.html,
https://vnexpress.net/nha-mang-khong-de-nghen-mang-virus-pha-hoai-dip-nghi-le-30-4-4878796.html,
https://vnexpress.net/khoa-hoc-cong-nghe-phai-huong-toi-giai-bai-toan-lon-cua-quoc-gia-4878011.html,
https://vnexpress.net/apple-va-meta-bi-phat-700-trieu-euro-4878068.html,
